id,email,password,nickname,gender,age,height,weight,activity_level,activity_goal,avg_distance,total_distance,role
1,gimyejun@example.org,678689cffa3a806546d32f795ceb47dafc670feffc19f4094e42cf7428bbb0d6,yejun35,남성,46,176.8,77.4,산책하는 거북이,산책하는 거북이,3.2,268.8,ADMIN
2,gimsangceol@example.com,0a9d6f45a0619cfbd00ad7023681c872d35f471af8744665ddaab27d4a2fdcd5,hyeonu52,여성,53,156.3,49.2,신나는 강아지,힘찬 질주 말,5.17,501.49,ADMIN
3,jeonghun41@example.net,57c67c4e0b1f98cb3ef1772fe8ef2ad83b76404b8c0d8509e0c721988c7473c1,yeonggil76,여성,47,156.5,50.1,힘찬 질주 말,전광석화 치타,10.1,989.8,ADMIN
4,igim@example.org,7cb63cfe02abc7b2abe4c7b2b66a274cf12589aa873d4c148d3fe8cc6d88f71c,hyeonjeong01,남성,44,169.3,71.4,산책하는 거북이,신나는 강아지,3.58,318.62,USER
5,eungyeong51@example.com,5ceb4092cc6eb23bb4d92eb840c0f1716af817a6afc0a62d562db22ab843cc52,xgim,남성,64,162.7,73.8,느긋한 코알라,느긋한 코알라,2.79,44.64,USER
6,yeongil39@example.org,345a39b3d0222230fd857615fc9e3dfe3c6365e791dfaa1400ef1dbd0bd1a7b7,ogim,남성,26,183.4,69.0,힘찬 질주 말,힘찬 질주 말,11.86,213.48,USER
7,iseohyeon@example.org,6ddecf9a5fe1b32b00431ee9cbc65bbb2d281609e629efa7da61460ca59def94,yunjeonghun,여성,19,156.4,48.9,전광석화 치타,전광석화 치타,18.67,821.48,USER
8,ubag@example.org,19a6e23bd6dbe4cadd07086363b6d224f6237c42b7e136d94cfb77d34a897c9e,jucaeweon,여성,34,171.1,61.7,힘찬 질주 말,전광석화 치타,9.7,611.1,USER
9,seonghobag@example.org,c73c16bb0adc9666b2139af589810b5fa554d9824234cd7340aa2e2056a2633a,sinminseog,여성,21,161.3,68.6,힘찬 질주 말,힘찬 질주 말,11.84,1112.96,USER
10,hbag@example.org,560e588aa1022abba16de2ed24b5e58833412342346e2e697e9379dbbd06e88e,yeongil62,여성,62,165.3,57.8,전광석화 치타,전광석화 치타,16.69,1635.62,USER
11,hyeonjun10@example.com,010cb1e79a69d0a3c6194d01e8b3a99ed696fe296aee408d2662e3392c2e2910,simseongmin,여성,62,161.9,51.4,느긋한 코알라,산책하는 거북이,2.09,35.53,USER
12,sonogsun@example.org,b003e10c46ff1d0b839f2cadb217828c6c467a13f6bbb2e0f31e00acd551c158,bcoe,여성,28,157.7,51.2,신나는 강아지,신나는 강아지,7.31,102.34,USER
13,gimhayun@example.net,0b1e2687c230a96778e2c7e3c1e2eef4ee663ae844ed7e8b8c5a5a3a41e53615,jiagu,여성,56,164.0,69.4,힘찬 질주 말,전광석화 치타,8.38,268.16,USER
14,jiyeonggim@example.net,824bf7b8916a1b1e1d195d9b4eab3a967bdcb1fda6fd05cf66669dbc502721fa,yejun14,여성,41,161.4,63.4,힘찬 질주 말,전광석화 치타,9.1,400.4,USER
15,sunog68@example.com,a4aab3df4b600a7daab3b83f551452dad0b5770f4cf3dd259b61c6adddfdd60e,juweongim,남성,52,175.5,80.3,산책하는 거북이,산책하는 거북이,4.54,163.44,USER
16,sujin14@example.net,aac89e5c64bfbfddbefd8057878368f6cc2b904b7cd55601d26758a339625919,nbag,남성,32,168.5,66.5,산책하는 거북이,신나는 강아지,3.22,231.84,USER
17,yan@example.net,113dc174778dffa25a55439151ac98582ce83f4e67f1b678b108797beb50466d,yeeuni,여성,56,175.8,75.9,전광석화 치타,전광석화 치타,13.99,335.76,USER
18,pgim@example.net,1e552585efb99809787c2ee79d9628d08332e5e8fea2324b974069416f0fd1d1,jryu,남성,46,165.8,60.0,신나는 강아지,신나는 강아지,5.48,411.0,USER
19,vbae@example.com,bb1323e907cb15e59f3ad16851ab56e2a8c1edceed113333a2617c3fb7cfa01e,ijeongung,여성,62,156.3,55.3,힘찬 질주 말,전광석화 치타,9.67,686.57,USER
20,ni@example.com,f5721c31517f55156c7e732349630b40dbb220a82dabee2bc82d7f9987b8031f,vgim,남성,45,170.8,66.7,느긋한 코알라,느긋한 코알라,1.84,130.64,USER
21,do@example.org,dfc923ad895063561d40de6a9c53019faf55a73980cdaf82d6202c35e7b4e5fd,gweonminseog,남성,30,154.4,51.9,신나는 강아지,힘찬 질주 말,6.01,528.88,USER
22,yeongsig10@example.org,47b5b2efa6d995bf11495ecacc0919b401b55e7c3876f0f1d5d61be9ebfd0000,seoyeong66,남성,49,175.4,74.3,느긋한 코알라,산책하는 거북이,2.05,137.35,USER
23,minjunhan@example.net,27ad83e2e2b065139a8f168ee55798c8d5b459871a84958b982e56f65cedf3e2,bo,여성,29,159.9,54.7,느긋한 코알라,산책하는 거북이,1.56,17.16,USER
24,yejinca@example.com,59522efe66dc74de8468ea0b67f2b8f10daadbe1023a4416bcb774394344af54,eunjeong54,여성,45,150.0,43.7,전광석화 치타,전광석화 치타,14.76,147.6,USER
25,boram83@example.org,b23b6afca00a1b7fe20db8e24763178b5d9ae92bc90408796e2cc7b36bad03d1,yeweon44,남성,19,155.5,59.1,힘찬 질주 말,힘찬 질주 말,11.05,287.3,USER
26,yeongsig35@example.org,99a3b95fe88def60ad5544a9ef69d59c5697034e1debe748e3c78bc604401cf4,coeyeonghyi,남성,55,183.4,77.2,힘찬 질주 말,전광석화 치타,10.53,210.6,USER
27,sunoggweon@example.org,2117e537c9d5ea5d4bae9e80e844aaacccf5744ab85bc1268254e898220a3bf9,yjo,남성,65,169.9,69.5,전광석화 치타,전광석화 치타,18.87,1283.16,USER
28,eungyeongi@example.com,b9458c1122e2975245969ca602fa2f1834304b01187abbca53b8284bed2784de,gimyeweon,여성,36,162.3,65.0,신나는 강아지,힘찬 질주 말,6.94,423.34,USER
29,ogim@example.com,45b966ba0ae59216125ac0b9bb1ce46e59377de4d0c9c8d58ec7dbe3335493dc,gno,남성,50,176.0,82.7,신나는 강아지,힘찬 질주 말,7.21,425.39,USER
30,mi@example.org,906f3f74c0d1ca19cf5473a898a27116dd7181e500077fef2c4d0d4bbe0e71ae,fyun,남성,48,155.7,65.5,신나는 강아지,신나는 강아지,6.98,691.02,USER
31,bagjungsu@example.com,5073dab43d6d723326bd01b5683e12165846bf6d780a9b5ca498f14b761ed6c5,hgim,여성,19,166.0,56.5,느긋한 코알라,느긋한 코알라,2.55,226.95,USER
32,sujin77@example.org,bc78a6f75f9b539b20f57ae916bb46a17fac9d76cd1e210b6c33a8278705c0e5,snam,남성,37,174.1,82.1,느긋한 코알라,산책하는 거북이,2.78,225.18,USER
33,jihu77@example.org,287cae2e6c56587dfe10e7fbf936cdabfe0ff7712809025bf3c45548e217fbed,wbag,여성,55,165.1,59.9,느긋한 코알라,느긋한 코알라,2.96,79.92,USER
34,minji86@example.com,3bdf10c6ab68a08e74b24a852e44afeac230254cab6ae4c92730bf983e21fee0,jiyeon71,여성,63,170.7,68.2,신나는 강아지,힘찬 질주 말,7.98,335.16,USER
35,jgim@example.com,c0ec8546a3dba4fff6437ac0a8e221e2a5dd841c5c404b62cfeef6c99395d77d,sugjaheo,여성,50,152.0,50.7,신나는 강아지,신나는 강아지,5.92,337.44,USER
36,ogjai@example.org,2de78ee74bbc665f3f177f5e8561ddc90c70798c7affc06162a2a1770ff1db6b,jbaeg,여성,39,159.8,53.9,전광석화 치타,전광석화 치타,15.89,270.13,USER
37,hyeonjungim@example.com,708e71946636cb88a26ad44f89f77a74b361bf649228f9c9490992e7317a3b34,seoyeong40,남성,44,173.1,73.8,느긋한 코알라,느긋한 코알라,1.85,105.45,USER
38,ki@example.net,0ed5b46da5fb51cc45e0ccdd10ca961f31ff83115cae0308cb4f847b49e3bbd5,xgim,남성,21,183.2,67.8,느긋한 코알라,산책하는 거북이,1.77,69.03,USER
39,byeongceoli@example.net,28cc96963beff4112bb3f361987d00f7e83653161ac0db136f672e6c7eed068a,zju,남성,63,171.4,59.1,전광석화 치타,전광석화 치타,15.43,956.66,USER
40,byeongceol60@example.com,90e39f237324299f30599b20622bc0dde83b72bc35c2d68e4f60a298a21b8b1d,sunja12,남성,52,178.0,88.2,힘찬 질주 말,힘찬 질주 말,9.22,378.02,USER
41,hajaeho@example.com,57afe2085fa09cb00e356685f2fac9e0db7ae1a1f324ffde961bd0df00867485,jinhoha,남성,50,166.5,67.8,산책하는 거북이,산책하는 거북이,4.14,136.62,USER
